date,OT,HUFL,HULL,MUFL,MULL,LUFL,LULL
2016-07-02 06:00:00,20.26,5.49,3.28,2.52,1.49,2.98,1.46
2016-07-02 07:00:00,21.10,5.63,3.21,2.49,1.49,3.08,1.52
2016-07-02 08:00:00,20.61,5.56,3.28,2.59,1.67,2.92,1.52
2016-07-02 09:00:00,18.36,5.22,3.21,2.56,1.56,2.68,1.46
2016-07-02 10:00:00,20.96,9.91,4.96,6.64,3.31,3.05,1.55
2016-07-02 11:00:00,19.42,11.79,5.43,8.17,2.52,3.69,1.67
2016-07-02 12:00:00,20.82,9.65,4.96,6.75,2.13,3.11,1.83
2016-07-02 13:00:00,20.19,10.38,5.76,7.46,2.56,2.98,1.77
2016-07-02 14:00:00,21.32,8.77,4.69,6.11,2.03,2.89,1.92
2016-07-02 15:00:00,22.02,10.45,5.16,6.97,2.45,2.77,1.74
2016-07-02 16:00:00,20.68,9.85,4.82,7.04,2.66,2.89,1.77
2016-07-02 17:00:00,25.47,9.91,4.82,6.89,2.42,3.23,1.74
2016-07-02 18:00:00,25.89,10.65,4.69,6.93,2.45,3.38,1.80
2016-07-02 19:00:00,27.86,10.11,4.35,6.64,1.81,3.11,1.74
2016-07-02 20:00:00,27.30,9.98,4.15,6.57,1.95,3.41,1.77
2016-07-02 21:00:00,22.23,9.31,4.22,6.01,2.13,3.23,1.86
2016-07-02 22:00:00,21.95,9.44,4.62,6.97,2.17,2.95,1.86
2016-07-02 23:00:00,27.30,9.44,4.29,6.82,2.56,2.59,1.74
2016-07-03 00:00:00,29.33,10.38,5.43,7.60,2.31,2.95,1.67
2016-07-03 01:00:00,26.03,9.78,5.22,6.72,2.84,2.65,1.67
2016-07-03 02:00:00,24.34,10.38,4.69,7.32,2.20,2.98,1.86
2016-07-03 03:00:00,26.45,9.78,4.15,6.82,1.99,2.53,1.67
2016-07-03 04:00:00,25.96,10.72,4.76,7.36,2.81,2.65,1.80
2016-07-03 05:00:00,24.06,10.31,4.69,7.39,2.45,2.92,1.86
2016-07-03 06:00:00,25.33,12.59,5.22,8.67,2.20,3.72,1.95
2016-07-03 07:00:00,23.64,11.12,4.62,7.89,2.84,3.63,1.92
2016-07-03 08:00:00,26.38,10.65,4.42,7.04,2.03,3.59,1.92
2016-07-03 09:00:00,27.36,10.05,4.22,6.43,1.67,3.69,1.95
2016-07-03 10:00:00,28.07,11.72,5.09,7.89,2.56,3.56,1.86
2016-07-03 11:00:00,29.48,12.12,5.36,8.07,2.49,4.08,1.92
2016-07-03 12:00:00,26.80,9.98,5.02,6.86,2.56,3.29,1.86
2016-07-03 13:00:00,29.97,9.24,4.96,6.29,2.63,3.14,1.89
2016-07-03 14:00:00,30.39,10.18,5.43,7.18,3.02,3.08,1.89
2016-07-03 15:00:00,31.16,9.65,5.43,7.11,2.66,3.02,1.83
2016-07-03 16:00:00,29.76,9.78,4.89,6.50,2.98,3.08,2.01
2016-07-03 17:00:00,32.29,11.12,5.16,7.32,2.91,3.81,1.98
2016-07-03 18:00:00,31.94,11.05,4.96,7.39,2.52,3.69,1.98
2016-07-03 19:00:00,28.56,10.78,4.89,7.21,2.49,3.59,1.89
2016-07-03 20:00:00,21.53,11.19,4.89,7.18,2.35,3.96,1.92
2016-07-03 21:00:00,22.23,10.45,4.89,6.61,2.31,3.81,2.04
2016-07-03 22:00:00,19.42,9.58,5.76,6.79,3.13,3.26,1.89
2016-07-03 23:00:00,18.57,9.31,5.76,6.61,3.06,3.17,1.89
2016-07-04 00:00:00,21.67,9.91,5.89,6.25,2.63,3.02,1.86
2016-07-04 01:00:00,25.54,8.98,4.96,6.29,2.66,2.86,1.83
2016-07-04 02:00:00,27.86,8.64,4.82,6.15,2.59,2.92,1.83
2016-07-04 03:00:00,27.93,9.18,5.49,5.58,2.38,2.86,1.86
2016-07-04 04:00:00,24.62,9.11,4.82,5.65,2.52,2.77,1.80
2016-07-04 05:00:00,23.85,9.85,5.56,5.97,2.95,3.11,1.89
2016-07-04 06:00:00,23.07,11.59,5.43,7.39,2.81,3.81,1.98
2016-07-04 07:00:00,22.51,11.79,6.09,7.21,2.98,3.90,2.04
2016-07-04 08:00:00,21.67,10.58,5.96,7.14,2.91,3.65,2.07
2016-07-04 09:00:00,25.40,11.59,6.30,7.57,3.06,3.47,2.01
2016-07-04 10:00:00,25.18,11.92,6.23,7.71,3.06,3.75,1.95
2016-07-04 11:00:00,29.55,12.32,5.56,8.42,3.23,4.20,1.98
2016-07-04 12:00:00,29.48,10.38,5.89,6.86,2.63,3.56,1.95
2016-07-04 13:00:00,29.26,10.05,5.43,6.75,3.02,3.32,1.95
2016-07-04 14:00:00,30.95,10.52,6.03,7.11,3.38,3.14,1.92
2016-07-04 15:00:00,31.73,10.72,6.09,6.79,3.02,3.17,2.01
2016-07-04 16:00:00,33.13,9.98,5.02,6.50,2.56,3.44,2.04
2016-07-04 17:00:00,28.98,11.32,5.09,7.36,2.45,3.87,2.04
2016-07-04 18:00:00,28.98,11.39,4.96,7.36,2.45,4.30,2.19
2016-07-04 19:00:00,31.73,9.38,3.88,6.89,2.24,2.47,1.19
2016-07-04 20:00:00,25.18,10.11,4.09,7.14,2.24,2.95,1.46
2016-07-04 21:00:00,30.53,10.38,4.82,6.89,2.31,3.50,2.01
2016-07-04 22:00:00,27.65,9.65,4.89,6.61,1.92,3.26,1.92
2016-07-04 23:00:00,25.47,12.73,6.50,9.35,3.48,3.17,1.98
2016-07-05 00:00:00,25.96,11.99,5.63,8.78,2.95,3.20,1.98
2016-07-05 01:00:00,25.96,12.52,6.30,8.95,3.16,3.14,2.01
2016-07-05 02:00:00,26.03,12.32,6.30,8.81,3.38,2.98,1.92
2016-07-05 03:00:00,28.91,10.72,5.43,8.07,2.88,2.83,1.86
2016-07-05 04:00:00,30.46,11.32,5.63,7.68,2.63,3.05,1.89
2016-07-05 05:00:00,31.38,10.85,4.69,6.82,1.88,3.32,2.04
2016-07-05 06:00:00,32.78,13.33,5.43,8.88,2.74,4.08,1.95
2016-07-05 07:00:00,31.73,11.45,5.22,7.85,2.77,3.65,2.01
2016-07-05 08:00:00,30.32,11.05,5.96,7.46,3.13,3.56,2.10
2016-07-05 09:00:00,30.46,10.98,6.03,7.53,2.70,3.41,2.04
2016-07-05 10:00:00,32.92,12.79,5.96,8.56,3.45,3.84,2.16
2016-07-05 11:00:00,31.09,13.40,6.43,8.74,3.48,4.60,2.25
2016-07-05 12:00:00,25.68,11.25,5.43,7.68,2.74,3.59,2.01
2016-07-05 13:00:00,27.15,9.91,4.55,6.68,2.31,3.32,1.92
2016-07-05 14:00:00,28.77,10.18,5.36,7.32,2.49,3.32,2.07
2016-07-05 15:00:00,30.60,10.85,5.22,7.25,2.42,3.32,1.95
2016-07-05 16:00:00,32.01,10.05,5.02,6.89,2.74,3.17,2.25
2016-07-05 17:00:00,33.13,11.92,5.43,7.92,2.88,4.39,2.10
2016-07-05 18:00:00,31.51,11.45,4.96,7.46,2.35,3.99,2.04
2016-07-05 19:00:00,31.02,10.85,4.69,7.07,2.35,3.81,1.95
2016-07-05 20:00:00,31.44,11.19,4.62,7.28,2.20,3.90,1.89
2016-07-05 21:00:00,31.73,10.65,4.69,6.89,2.17,3.81,2.01
2016-07-05 22:00:00,30.95,9.98,4.35,6.64,1.92,3.56,1.98
2016-07-05 23:00:00,30.46,11.85,5.76,7.82,2.70,3.26,1.95
2016-07-06 00:00:00,28.91,10.38,5.09,6.47,2.84,3.02,1.83
2016-07-06 01:00:00,30.39,10.72,5.43,7.50,2.31,2.83,1.92
2016-07-06 02:00:00,31.51,10.85,5.36,7.82,2.88,2.83,1.86
2016-07-06 03:00:00,31.23,9.78,5.16,5.97,2.35,3.17,2.13
2016-07-06 04:00:00,30.53,9.38,4.49,6.25,2.27,3.02,2.04
2016-07-06 05:00:00,30.11,11.39,5.56,7.85,2.84,3.26,2.35
2016-07-06 06:00:00,30.32,11.85,4.49,8.21,2.10,3.87,1.86
2016-07-06 07:00:00,29.62,12.52,6.16,9.13,3.63,3.53,1.89
2016-07-06 08:00:00,30.53,12.73,6.36,9.35,3.38,3.72,1.98
2016-07-06 09:00:00,32.99,11.12,4.76,7.18,2.13,3.35,1.98
2016-07-06 10:00:00,30.25,11.79,4.89,8.03,2.45,3.56,1.86
2016-07-06 11:00:00,30.25,13.13,4.96,8.67,2.77,3.99,1.92
2016-07-06 12:00:00,30.67,10.58,4.76,7.00,2.06,2.95,1.64
2016-07-06 13:00:00,31.59,10.31,5.29,7.50,2.35,3.05,1.71
2016-07-06 14:00:00,31.94,9.44,5.02,6.97,2.20,2.65,1.64
2016-07-06 15:00:00,28.98,10.45,4.22,7.00,2.38,2.71,1.58
2016-07-06 16:00:00,27.72,9.85,4.09,7.07,1.92,2.71,1.55
2016-07-06 17:00:00,30.67,10.98,4.76,7.64,2.63,3.29,1.64
2016-07-06 18:00:00,24.34,10.72,4.29,7.32,2.10,3.32,1.64
2016-07-06 19:00:00,29.69,9.18,3.55,6.01,1.56,3.11,1.61
2016-07-06 20:00:00,30.25,9.65,4.15,6.25,1.46,3.41,1.74
2016-07-06 21:00:00,29.97,8.51,2.88,5.44,0.75,3.53,1.83
2016-07-06 22:00:00,29.55,10.52,3.35,7.11,1.28,3.26,1.64
2016-07-06 23:00:00,28.49,13.40,4.69,10.23,2.38,3.26,1.67
2016-07-07 00:00:00,28.56,12.59,5.16,9.20,2.31,2.77,1.61
2016-07-07 01:00:00,28.77,14.20,6.23,11.19,3.45,2.56,1.55
2016-07-07 02:00:00,27.72,12.59,6.23,10.91,3.70,2.53,1.52
2016-07-07 03:00:00,28.14,14.27,6.36,11.12,3.87,2.83,1.67
2016-07-07 04:00:00,27.36,12.59,5.09,9.20,2.77,2.68,1.83
2016-07-07 05:00:00,26.73,13.73,5.63,10.66,2.98,3.23,1.77
2016-07-07 06:00:00,26.38,15.14,5.76,11.23,2.95,3.32,1.64
2016-07-07 07:00:00,25.40,14.27,5.96,10.80,3.20,3.38,1.80
2016-07-07 08:00:00,27.93,12.52,5.09,9.31,3.06,3.08,1.80
2016-07-07 09:00:00,28.98,12.32,5.56,8.67,2.84,3.02,1.67
2016-07-07 10:00:00,29.76,13.26,6.09,9.81,2.84,3.44,1.77
2016-07-07 11:00:00,30.60,12.32,4.96,8.24,2.56,3.99,1.74
2016-07-07 12:00:00,32.64,9.65,3.62,6.79,1.60,3.05,1.52
2016-07-07 13:00:00,35.38,10.52,4.55,7.39,2.13,2.80,1.55
2016-07-07 14:00:00,37.28,9.38,3.82,6.57,1.56,2.65,1.55
2016-07-07 15:00:00,38.48,9.11,3.68,6.61,1.60,2.59,2.13
2016-07-07 16:00:00,36.79,9.24,3.42,6.54,1.71,2.98,1.55
2016-07-07 17:00:00,34.12,10.45,4.22,7.32,2.10,3.23,1.52
2016-07-07 18:00:00,33.84,11.05,4.29,7.60,1.99,3.47,1.67
2016-07-07 19:00:00,33.27,10.11,4.09,6.86,1.95,3.26,1.64
2016-07-07 20:00:00,32.92,11.12,4.15,7.43,1.92,3.75,1.67
2016-07-07 21:00:00,33.63,10.45,3.28,7.11,1.28,3.59,1.71
2016-07-07 22:00:00,32.64,10.52,3.88,7.36,1.60,3.17,1.67
2016-07-07 23:00:00,31.59,11.85,5.36,8.88,3.20,3.08,1.55
2016-07-08 00:00:00,31.09,11.85,4.76,8.88,2.98,2.95,1.52
2016-07-08 01:00:00,30.74,10.38,4.76,7.99,2.63,2.50,1.34
2016-07-08 02:00:00,29.33,11.19,5.22,8.71,2.59,2.38,1.40
2016-07-08 03:00:00,28.77,10.25,4.55,7.75,2.74,2.44,1.49
2016-07-08 04:00:00,29.12,10.92,4.09,8.24,2.59,2.32,1.46
2016-07-08 05:00:00,29.26,12.66,5.22,9.42,2.70,2.89,1.61
2016-07-08 06:00:00,29.41,13.60,5.43,9.74,2.98,3.47,1.64
2016-07-08 07:00:00,28.91,10.38,4.09,7.21,2.03,3.29,1.64
2016-07-08 08:00:00,29.90,9.98,4.55,6.72,2.27,3.29,1.80
2016-07-08 09:00:00,30.53,9.65,4.02,6.89,2.59,3.02,1.64
2016-07-08 10:00:00,30.67,11.72,4.76,7.99,2.17,3.38,1.74
2016-07-08 11:00:00,30.67,11.79,4.22,8.03,2.13,3.93,1.83
2016-07-08 12:00:00,31.09,10.45,4.09,7.36,1.81,3.17,1.67
2016-07-08 13:00:00,30.88,10.18,3.42,6.86,1.74,3.05,1.61
2016-07-08 14:00:00,32.71,12.93,5.02,6.75,1.53,5.70,2.22
2016-07-08 15:00:00,34.75,10.18,4.22,6.57,1.74,3.02,1.64
2016-07-08 16:00:00,34.40,9.44,3.55,6.61,1.28,2.92,1.61
2016-07-08 17:00:00,34.33,10.31,4.09,7.18,2.10,3.23,1.64
2016-07-08 18:00:00,33.63,10.72,3.88,7.11,1.74,3.56,1.67
2016-07-08 19:00:00,33.56,10.18,3.62,6.47,1.42,3.59,1.67
2016-07-08 20:00:00,32.78,11.85,4.09,7.64,1.56,4.26,1.86
2016-07-08 21:00:00,32.15,12.73,4.35,8.24,2.13,4.30,1.77
2016-07-08 22:00:00,31.23,14.07,5.36,9.67,2.24,3.78,1.71
2016-07-08 23:00:00,30.53,18.15,8.84,12.40,4.19,5.82,3.05
2016-07-09 00:00:00,30.95,14.60,5.96,11.30,3.34,3.26,1.77
2016-07-09 01:00:00,30.32,14.53,6.16,11.69,3.91,3.05,1.64
2016-07-09 02:00:00,29.41,14.40,6.30,11.73,3.94,2.80,1.61
2016-07-09 03:00:00,28.70,14.00,6.50,10.94,3.20,2.71,1.67
2016-07-09 04:00:00,28.77,14.07,6.30,11.30,3.48,2.83,2.01
2016-07-09 05:00:00,28.91,14.27,5.43,10.84,3.02,3.32,1.77
2016-07-09 06:00:00,28.28,14.60,5.69,10.87,3.06,3.29,1.74
2016-07-09 07:00:00,28.63,9.11,2.61,6.40,1.07,2.74,1.52
2016-07-09 08:00:00,28.77,11.45,3.42,8.28,1.10,3.14,1.77
2016-07-09 09:00:00,29.97,9.78,3.55,6.01,1.71,3.29,1.64
2016-07-09 10:00:00,29.76,10.85,4.22,6.57,1.24,3.47,1.80
2016-07-09 11:00:00,30.32,10.52,3.48,6.61,1.35,3.87,1.74
2016-07-09 12:00:00,31.44,9.78,3.62,5.90,0.85,3.23,1.71
2016-07-09 13:00:00,30.74,10.25,3.75,6.61,1.24,3.05,1.55
2016-07-09 14:00:00,31.66,9.65,4.02,6.82,1.56,3.05,1.55
2016-07-09 15:00:00,32.29,9.58,3.82,6.36,1.49,3.08,1.61
2016-07-09 16:00:00,32.85,11.99,4.15,6.43,1.53,5.60,2.19
2016-07-09 17:00:00,32.08,10.78,3.82,6.64,1.21,3.87,1.89
2016-07-09 18:00:00,31.87,10.11,3.42,6.25,1.21,3.69,2.04
2016-07-09 19:00:00,31.38,9.44,3.15,5.97,1.10,3.41,1.64
2016-07-09 20:00:00,30.88,11.32,3.48,7.43,1.81,4.05,1.67
2016-07-09 21:00:00,30.88,13.53,4.76,9.52,2.70,3.90,1.46
2016-07-09 22:00:00,29.97,12.46,5.83,8.92,3.55,3.50,1.58
2016-07-09 23:00:00,29.97,13.33,5.36,9.59,2.45,3.29,1.55
2016-07-10 00:00:00,29.48,15.27,6.23,9.74,2.74,5.48,2.01
2016-07-10 01:00:00,29.33,15.54,6.09,10.52,3.16,5.21,2.04
2016-07-10 02:00:00,29.83,15.14,6.36,9.63,3.23,4.93,1.92
2016-07-10 03:00:00,29.12,14.40,5.89,8.49,2.98,4.93,1.98
2016-07-10 04:00:00,28.56,14.13,5.16,8.60,2.45,4.97,1.95
2016-07-10 05:00:00,28.63,14.00,4.35,8.71,2.13,5.27,2.04
2016-07-10 06:00:00,27.79,14.94,5.63,9.03,1.92,5.82,2.10
2016-07-10 07:00:00,27.51,13.33,4.55,7.71,1.46,5.57,2.19
2016-07-10 08:00:00,28.07,10.85,4.55,7.32,2.20,3.20,1.77
2016-07-10 09:00:00,29.62,9.85,4.29,6.86,1.81,3.17,1.71
2016-07-10 10:00:00,29.48,10.25,3.95,6.86,1.71,3.38,1.80
2016-07-10 11:00:00,29.05,11.85,4.02,7.60,1.81,4.14,1.74
2016-07-10 12:00:00,29.48,8.57,3.28,5.58,1.14,2.98,1.52
2016-07-10 13:00:00,29.12,8.64,3.08,5.51,1.03,2.71,1.43
2016-07-10 14:00:00,29.69,8.31,2.41,5.19,0.71,2.92,1.52
2016-07-10 15:00:00,31.02,8.77,3.35,6.15,1.35,2.53,1.43
2016-07-10 16:00:00,31.16,8.04,2.55,5.61,0.89,2.47,1.34
2016-07-10 17:00:00,30.67,9.18,2.75,6.29,1.14,3.23,1.43
2016-07-10 18:00:00,29.97,9.44,3.21,6.40,1.42,3.17,1.52
2016-07-10 19:00:00,30.18,8.51,2.88,5.79,1.10,2.71,1.31
2016-07-10 20:00:00,29.48,10.05,3.08,6.86,1.28,3.17,1.31
2016-07-10 21:00:00,29.41,9.71,2.08,6.40,0.60,3.29,1.31
2016-07-10 22:00:00,28.21,9.98,3.08,7.00,1.32,2.86,1.31
2016-07-10 23:00:00,29.12,9.98,3.55,7.21,1.88,2.68,1.28
2016-07-11 00:00:00,28.56,13.60,5.36,8.99,2.70,4.87,1.80
2016-07-11 01:00:00,29.19,13.60,4.89,8.49,1.92,4.57,1.67
2016-07-11 02:00:00,28.56,12.12,4.09,7.07,1.78,4.60,1.67
2016-07-11 03:00:00,29.26,11.99,3.95,7.57,1.60,4.48,1.74
2016-07-11 04:00:00,29.05,11.99,4.22,7.57,1.60,4.36,1.92
2016-07-11 05:00:00,28.91,12.99,4.42,7.85,1.60,4.57,1.67
2016-07-11 06:00:00,29.83,13.80,4.09,8.14,2.10,5.27,1.77
2016-07-11 07:00:00,29.83,12.99,4.15,8.17,2.03,5.21,1.89
2016-07-11 08:00:00,29.19,9.98,3.82,7.25,1.56,2.89,1.43
2016-07-11 09:00:00,30.88,10.11,3.88,6.64,1.67,2.77,1.37
2016-07-11 10:00:00,31.23,9.85,3.35,6.79,1.81,2.41,1.49
2016-07-11 11:00:00,32.22,10.98,3.62,7.14,1.60,3.50,1.37
2016-07-11 12:00:00,32.99,8.37,2.81,5.51,0.57,2.68,1.22
2016-07-11 13:00:00,33.91,8.91,2.88,5.79,0.75,2.59,1.19
2016-07-11 14:00:00,34.75,9.04,3.01,6.29,1.00,2.59,1.28
2016-07-11 15:00:00,34.75,9.24,3.21,6.36,1.03,2.68,1.16
2016-07-11 16:00:00,34.82,8.24,2.81,5.72,1.24,2.53,1.25
2016-07-11 17:00:00,34.89,8.98,2.88,5.93,1.24,3.02,1.25
2016-07-11 18:00:00,33.34,8.51,2.34,5.58,0.75,2.89,1.16
2016-07-11 19:00:00,31.66,7.84,2.08,5.22,0.53,2.59,1.13
2016-07-11 20:00:00,33.49,9.18,1.94,6.18,0.60,2.89,0.98
2016-07-11 21:00:00,32.64,9.18,2.01,6.22,0.60,2.95,0.98
2016-07-11 22:00:00,32.50,8.37,3.01,6.29,1.21,2.44,0.94
2016-07-11 23:00:00,33.06,10.92,3.55,9.03,2.31,2.13,0.88
2016-07-12 00:00:00,33.49,11.52,3.55,9.59,2.31,1.98,0.82
2016-07-12 01:00:00,33.70,11.52,4.15,9.59,2.70,1.74,0.67
2016-07-12 02:00:00,33.56,12.12,4.55,10.34,3.48,1.83,0.79
2016-07-12 03:00:00,33.34,11.92,4.09,10.16,2.95,1.80,0.82
2016-07-12 04:00:00,32.99,11.72,3.82,9.52,2.45,1.80,0.82
2016-07-12 05:00:00,33.34,11.12,3.35,8.92,2.42,2.10,0.88
2016-07-12 06:00:00,33.91,11.12,3.82,8.64,1.85,2.56,1.04
2016-07-12 07:00:00,33.20,9.44,2.28,6.89,1.39,2.01,0.73
2016-07-12 08:00:00,34.19,8.71,3.08,6.68,1.60,2.38,1.07
2016-07-12 09:00:00,35.95,8.91,2.41,6.47,1.53,2.41,0.98
2016-07-12 10:00:00,36.37,10.11,2.68,6.97,1.42,2.86,1.19
2016-07-12 11:00:00,36.09,10.85,3.01,7.32,1.78,3.35,1.13
2016-07-12 12:00:00,36.09,9.38,1.88,6.01,0.96,2.89,1.16
2016-07-12 13:00:00,36.23,9.78,2.34,6.25,0.50,2.86,1.10
2016-07-12 14:00:00,38.41,9.51,2.01,6.47,0.96,2.86,1.22
2016-07-12 15:00:00,39.60,9.24,2.81,6.82,0.89,2.62,1.31
2016-07-12 16:00:00,40.10,8.77,1.94,6.11,0.46,2.71,1.13
2016-07-12 17:00:00,40.52,9.65,2.68,6.40,1.14,3.08,1.16
2016-07-12 18:00:00,37.85,9.11,2.14,5.97,0.60,3.11,1.10
2016-07-12 19:00:00,37.35,8.57,1.88,5.51,0.46,3.08,1.07
2016-07-12 20:00:00,36.02,10.85,2.14,7.14,0.53,3.75,1.10
2016-07-12 21:00:00,36.16,10.98,2.14,7.28,0.60,3.75,1.07
2016-07-12 22:00:00,36.02,12.79,2.75,9.81,1.71,3.26,0.91
2016-07-12 23:00:00,36.23,16.01,5.69,13.11,3.48,2.83,1.00
2016-07-13 00:00:00,36.51,19.16,6.23,13.72,4.01,5.03,1.52
2016-07-13 01:00:00,36.72,16.81,5.89,12.19,3.41,4.87,1.46
2016-07-13 02:00:00,36.58,17.62,5.96,12.72,3.59,4.72,1.49
2016-07-13 03:00:00,37.71,16.34,5.76,11.37,2.95,4.48,1.49
2016-07-13 04:00:00,37.71,18.02,7.10,13.47,3.91,4.48,1.52
2016-07-13 05:00:00,37.64,18.15,7.03,13.40,4.09,4.66,1.52
2016-07-13 06:00:00,37.00,16.21,4.82,10.52,2.70,5.06,1.55
2016-07-13 07:00:00,38.55,13.46,4.09,8.07,1.46,5.24,1.83
2016-07-13 08:00:00,38.06,10.31,3.42,6.93,1.32,2.80,1.46
2016-07-13 09:00:00,37.00,8.84,3.15,6.75,1.46,2.04,1.13
2016-07-13 10:00:00,37.00,10.25,3.28,6.61,1.17,3.11,1.31
2016-07-13 11:00:00,29.83,8.57,2.01,6.50,0.85,2.16,1.07
2016-07-13 12:00:00,32.85,8.77,2.14,5.72,0.43,2.65,1.00
2016-07-13 13:00:00,36.16,9.51,1.61,6.04,0.43,2.86,1.10
2016-07-13 14:00:00,35.81,8.77,2.08,6.04,0.82,2.38,1.00
2016-07-13 15:00:00,37.78,9.31,2.14,6.22,1.00,2.92,1.13
2016-07-13 16:00:00,39.53,8.31,2.28,5.72,0.92,2.62,1.10
2016-07-13 17:00:00,38.27,8.98,2.28,5.97,0.78,3.02,1.28
2016-07-13 18:00:00,34.75,8.84,2.14,5.72,0.60,3.11,1.13
2016-07-13 19:00:00,33.77,9.04,2.34,5.86,0.60,3.44,1.13
2016-07-13 20:00:00,32.85,11.25,2.61,7.18,0.85,4.11,1.19
2016-07-13 21:00:00,33.13,11.99,3.42,8.60,2.17,3.93,1.19
2016-07-13 22:00:00,34.33,12.52,3.82,9.63,1.60,3.26,0.98
2016-07-13 23:00:00,35.38,13.60,4.62,10.98,2.84,3.11,1.07
2016-07-14 00:00:00,34.54,14.60,5.36,11.19,2.88,2.86,1.04
2016-07-14 01:00:00,32.71,13.46,4.55,10.87,2.98,2.47,0.88
2016-07-14 02:00:00,33.91,12.26,3.88,9.52,2.13,2.47,0.94
2016-07-14 03:00:00,34.68,12.26,4.69,10.66,2.98,2.25,0.91
2016-07-14 04:00:00,35.67,11.59,3.68,8.85,1.71,2.10,0.88
2016-07-14 05:00:00,34.47,11.92,3.35,9.27,1.99,2.10,0.88
2016-07-14 06:00:00,35.31,11.52,3.68,9.56,2.27,2.53,0.94
2016-07-14 07:00:00,33.84,8.77,2.68,5.86,1.14,2.32,1.07
2016-07-14 08:00:00,35.88,7.97,3.08,5.97,1.60,2.38,1.28
2016-07-14 09:00:00,35.53,8.31,2.41,5.86,1.28,2.38,1.16
2016-07-14 10:00:00,36.58,9.38,2.34,6.50,1.17,2.80,1.25
2016-07-14 11:00:00,37.35,10.05,3.15,6.86,0.78,3.17,1.10
2016-07-14 12:00:00,34.61,8.24,2.08,5.69,0.39,2.59,1.04
2016-07-14 13:00:00,33.84,8.31,2.28,6.01,0.85,2.65,0.98
2016-07-14 14:00:00,33.20,7.90,2.21,5.40,0.78,2.47,1.04
2016-07-14 15:00:00,34.68,12.19,4.69,10.02,2.56,2.25,0.91
2016-07-14 16:00:00,36.72,7.84,1.54,5.30,0.68,2.47,1.28
2016-07-14 17:00:00,34.75,7.90,1.61,4.62,-0.11,3.17,1.13
2016-07-14 18:00:00,24.90,6.43,0.94,3.98,-0.28,2.47,1.13
2016-07-14 19:00:00,32.85,7.84,1.34,5.19,0.04,2.71,1.07
2016-07-14 20:00:00,33.13,8.98,1.41,5.69,0.04,3.26,0.98
2016-07-14 21:00:00,29.97,8.31,0.67,5.22,-0.43,3.11,0.98
2016-07-14 22:00:00,30.39,8.10,0.80,5.44,-0.32,2.65,0.88
2016-07-14 23:00:00,31.38,10.11,2.55,7.64,1.14,2.59,0.91
2016-07-15 00:00:00,31.30,13.19,4.02,8.42,2.10,4.78,1.46
2016-07-15 01:00:00,32.64,13.33,4.29,8.28,1.95,4.45,1.31
2016-07-15 02:00:00,33.34,13.86,4.35,8.99,1.81,4.26,1.31
